,PlayerName,ESPNRBRating,LongRushing,NetTotalYards,NetYardsPerGame,RushingAttempts,YardRushingPlays,Rushing1stdowns,RushingFumbles,RushingFumblesLost,RushingTouchdowns,RushingYards,RushingYardsPerGame,Stuffs,StuffYardsLost,TeamGamesPlayed,TotalOffensivePlays,TotalPointsPerGame,TotalTouchdowns,TotalYards,TotalYardsFromScrimmage,TwoPointRushConversion,TwoPointRush,TwoPointRushAttempts,YardsFromScrimmagePerGame,YardsPerGame,YardsPerRushAttempt
0,Josh Jacobs,2058.0,86.0,1653.0,97.23529052734375,340.0,7.0,93.0,2.0,0.0,12.0,1653.0,97.23529052734375,26.0,57.0,17.0,340.0,4.235294342041016,12.0,2053.0,2053.0,-1.0,0.0,1.0,120.76470947265625,120.76470947265625,4.861999988555908
1,Derrick Henry,1948.0,56.0,1542.0,96.375,349.0,10.0,65.0,4.0,2.0,13.0,1538.0,96.125,34.0,69.0,17.0,351.0,4.875,14.0,1940.0,1936.0,-1.0,0.0,0.0,121.0,121.25,4.4070000648498535
2,Nick Chubb,1930.0,41.0,1525.0,89.70587921142578,302.0,13.0,69.0,1.0,1.0,12.0,1525.0,89.70587921142578,28.0,61.0,17.0,302.0,4.588235378265381,13.0,1764.0,1764.0,-1.0,1.0,1.0,103.76470947265625,103.76470947265625,5.050000190734863
3,Saquon Barkley,1662.0,68.0,1312.0,82.0,295.0,9.0,62.0,1.0,0.0,10.0,1312.0,82.0,31.0,77.0,17.0,295.0,3.75,10.0,1650.0,1650.0,-1.0,0.0,0.0,103.125,103.125,4.447000026702881
4,Miles Sanders,1624.0,40.0,1269.0,74.64705657958984,259.0,9.0,62.0,1.0,1.0,11.0,1269.0,74.64705657958984,22.0,32.0,17.0,259.0,3.882352828979492,11.0,1347.0,1347.0,-1.0,0.0,1.0,79.23529052734375,79.23529052734375,4.900000095367432
5,Dalvin Cook,1393.0,81.0,1168.0,68.70587921142578,264.0,5.0,50.0,3.0,3.0,8.0,1173.0,69.0,33.0,58.0,17.0,265.0,3.529411792755127,10.0,1468.0,1468.0,-1.0,0.0,0.0,86.35294342041016,86.35294342041016,4.442999839782715
6,Justin Fields,1393.0,67.0,3026.0,201.73333740234375,160.0,10.0,65.0,9.0,0.0,8.0,1143.0,76.19999694824219,8.0,13.0,17.0,533.0,3.200000047683716,25.0,3385.0,1143.0,-1.0,0.0,0.0,76.19999694824219,225.6666717529297,7.144000053405762
7,Christian McCaffrey,1419.0,49.0,1173.0,69.0,244.0,9.0,59.0,1.0,0.0,8.0,1139.0,67.0,21.0,33.0,17.0,245.0,4.588235378265381,14.0,1914.0,1880.0,-1.0,0.0,2.0,110.5882339477539,112.5882339477539,4.668000221252441
8,Travis Etienne Jr.,1255.0,62.0,1125.0,66.17646789550781,220.0,8.0,52.0,3.0,3.0,5.0,1125.0,66.17646789550781,29.0,57.0,17.0,220.0,1.7647058963775635,5.0,1441.0,1441.0,-1.0,1.0,1.0,84.76470947265625,84.76470947265625,5.113999843597412
9,Aaron Jones,1146.0,36.0,1121.0,65.94117736816406,213.0,6.0,54.0,3.0,1.0,2.0,1121.0,65.94117736816406,23.0,57.0,17.0,213.0,2.470588207244873,7.0,1516.0,1516.0,-1.0,0.0,0.0,89.17646789550781,89.17646789550781,5.263000011444092
