,PlayerName,Position,assistTackles,avgInterceptionYards,avgSackYards,avgStuffYards,blockedFieldGoalTouchdowns,blockedPuntTouchdowns,hurries,kicksBlocked,longInterception,miscTouchdowns,passesBattedDown,passesDefended,QBHits,twoPtReturns,sacks,sackYards,safeties,soloTackles,stuffs,stuffYards,tacklesForLoss,tacklesYardsLost,teamGamesPlayed,totalTackles,yardsAllowed,pointsAllowed
0,Nick Bosa,DE,0.0,7.432000160217285,2.6670000553131104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,18.5,137.5,0.0,41.0,5.0,8.0,19.0,129.0,17.0,51.0,0.0,0.0,0.0
1,Haason Reddick,LB,0.0,8.281000137329102,1.6670000553131104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0,16.0,132.5,0.0,35.0,4.0,5.0,11.0,64.0,17.0,49.0,0.0,0.0,0.0
2,Myles Garrett,DE,0.0,5.688000202178955,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,0.0,16.0,91.0,0.0,37.0,8.5,12.0,18.0,85.0,17.0,60.0,0.0,0.0,0.0
3,Chris Jones,DT,0.0,6.806000232696533,2.4000000953674316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,0.0,15.5,105.5,0.0,30.0,5.5,12.0,17.0,94.0,17.0,44.0,0.0,0.0,0.0
4,Matthew Judon,LB,0.0,6.61299991607666,1.3329999446868896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0,15.5,102.5,0.0,36.0,7.0,4.0,14.0,99.0,17.0,60.0,0.0,0.0,0.0
5,Alex Highsmith,LB,0.0,8.137999534606934,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,14.5,118.0,0.0,38.0,6.5,21.0,12.0,91.0,17.0,63.0,0.0,0.0,0.0
6,Micah Parsons,LB,0.0,6.556000232696533,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0,13.5,88.5,0.0,42.0,4.0,7.0,13.0,66.0,17.0,65.0,0.0,0.0,0.0
7,J.J. Watt,DE,0.0,7.519999980926514,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,25.0,0.0,12.5,94.0,0.0,30.0,11.5,14.0,18.0,96.0,17.0,39.0,0.0,0.0,0.0
8,Maxx Crosby,DE,0.0,8.15999984741211,2.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,35.0,0.0,12.5,102.0,0.0,58.0,20.0,27.0,22.0,104.0,17.0,89.0,0.0,0.0,0.0
9,Brian Burns,DE,0.0,6.639999866485596,3.1670000553131104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,12.5,83.0,0.0,34.0,12.5,19.0,17.0,98.0,17.0,63.0,0.0,0.0,0.0
10,Quinnen Williams,DT,0.0,8.208000183105469,3.3329999446868896,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,28.0,0.0,12.0,98.5,0.0,35.0,5.5,10.0,12.0,83.0,17.0,55.0,0.0,0.0,0.0
11,Daron Payne,DT,0.0,7.086999893188477,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,11.5,81.5,1.0,32.0,8.0,14.0,18.0,85.0,17.0,64.0,0.0,0.0,0.0
12,Josh Uche,LB,0.0,4.303999900817871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,11.5,49.5,0.0,23.0,0.0,0.0,9.0,47.0,17.0,27.0,0.0,0.0,0.0
13,Brandon Graham,DE,0.0,5.817999839782715,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,11.0,64.0,0.0,19.0,6.5,9.0,11.0,45.0,17.0,35.0,0.0,0.0,0.0
14,Javon Hargrave,DT,0.0,6.817999839782715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,11.0,75.0,0.0,37.0,4.5,0.0,10.0,75.0,17.0,60.0,0.0,0.0,0.0
15,Josh Sweat,DE,42.0,7.636000156402588,1.7139999866485596,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,23.0,0.0,11.0,84.0,0.0,31.0,9.0,12.0,15.0,65.0,17.0,48.0,0.0,0.0,0.0
16,Cameron Heyward,DT,0.0,6.90500020980835,2.1670000553131104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,10.5,72.5,0.0,39.0,11.5,13.0,14.0,58.0,17.0,74.0,0.0,0.0,0.0
17,Danielle Hunter,LB,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,10.5,63.0,0.0,46.0,4.5,8.0,12.0,59.0,17.0,65.0,0.0,0.0,0.0
18,Za'Darius Smith,LB,0.0,7.050000190734863,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,0.0,10.0,70.5,0.0,32.0,6.5,16.0,15.0,87.0,17.0,44.0,0.0,0.0,0.0
19,Justin Houston,LB,5.0,6.631999969482422,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,17.0,0.0,9.5,63.0,0.0,14.0,2.0,0.0,7.0,41.0,17.0,21.0,0.0,0.0,0.0
20,Yannick Ngakoue,DE,0.0,6.578999996185303,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,9.5,62.5,0.0,18.0,4.5,4.0,8.0,45.0,17.0,29.0,0.0,0.0,0.0
21,Uchenna Nwosu,LB,0.0,6.578999996185303,4.400000095367432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,0.0,9.5,62.5,0.0,42.0,12.5,22.0,12.0,56.0,17.0,66.0,0.0,0.0,0.0
22,Darrell Taylor,LB,0.0,7.736999988555908,3.6670000553131104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,9.5,73.5,0.0,22.0,2.0,11.0,8.0,38.0,17.0,26.0,0.0,0.0,0.0
23,Aidan Hutchinson,DE,8.333000183105469,6.263000011444092,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,15.0,0.0,9.5,59.5,0.0,34.0,6.5,3.0,9.0,54.0,17.0,52.0,0.0,0.0,0.0
24,Jerry Hughes,DE,14.0,6.7779998779296875,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,9.0,61.0,0.0,21.0,7.0,6.0,10.0,60.0,17.0,35.0,0.0,0.0,0.0
25,Leonard Floyd,LB,0.0,7.111000061035156,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,9.0,64.0,0.0,31.0,4.0,1.0,10.0,64.0,17.0,59.0,0.0,0.0,0.0
26,Cameron Jordan,DE,0.0,7.940999984741211,2.8889999389648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,8.5,67.5,0.0,40.0,12.5,26.0,13.0,44.0,17.0,66.0,0.0,0.0,0.0
27,Preston Smith,LB,0.0,7.5289998054504395,2.6670000553131104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,8.5,64.0,0.0,38.0,9.0,8.0,9.0,49.0,17.0,59.0,0.0,0.0,0.0
28,Dorance Armstrong,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
29,Von Miller,LB,0.0,6.75,2.3329999446868896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,8.0,54.0,0.0,18.0,3.5,7.0,10.0,51.0,16.0,21.0,0.0,0.0,0.0
30,Khalil Mack,LB,0.0,7.25,1.399999976158142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,8.0,58.0,0.0,33.0,9.0,7.0,12.0,45.0,17.0,50.0,0.0,0.0,0.0
31,Denico Autry,DE,0.0,7.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,19.0,0.0,8.0,56.0,0.0,17.0,2.0,3.0,8.0,39.0,17.0,27.0,0.0,0.0,0.0
32,DeForest Buckner,DT,0.0,6.063000202178955,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,8.0,48.5,0.0,44.0,12.0,12.0,11.0,43.0,17.0,74.0,0.0,0.0,0.0
33,Trey Hendrickson,DE,0.0,5.938000202178955,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,0.0,8.0,47.5,0.0,22.0,4.5,6.0,6.0,26.0,16.0,32.0,0.0,0.0,0.0
34,Bradley Chubb,LB,0.0,8.062999725341797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,8.0,64.5,0.0,20.0,2.5,0.0,5.0,47.0,17.0,39.0,0.0,0.0,0.0
35,Montez Sweat,DE,0.0,7.375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0,8.0,59.0,0.0,27.0,8.0,12.0,14.0,68.0,17.0,46.0,0.0,0.0,0.0
36,James Houston,LB,0.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,58.0,0.0,11.0,0.0,0.0,7.0,58.0,7.0,12.0,0.0,0.0,0.0
37,Greg Rousseau,DE,0.0,7.563000202178955,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,8.0,60.5,0.0,27.0,5.5,15.0,10.0,53.0,16.0,37.0,0.0,0.0,0.0
38,Deatrich Wise Jr.,DE,0.0,6.199999809265137,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,7.5,46.5,0.0,33.0,3.5,8.0,7.0,36.0,17.0,59.0,0.0,0.0,0.0
39,Jonathan Allen,DT,1.0,7.132999897003174,2.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,17.0,0.0,7.5,53.5,0.0,44.0,17.0,33.0,16.0,63.0,17.0,65.0,0.0,0.0,0.0
40,Jeffery Simmons,DT,0.0,8.666999816894531,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,7.5,65.0,0.0,25.0,9.0,16.0,9.0,63.0,17.0,54.0,0.0,0.0,0.0
