,PlayerName,ESPNWidereceiverRating,LongReception,YardReceivingPlays,ReceivingFirstDowns,ReceivingFumbles,ReceivingFumblesLost,ReceivingTargets,ReceivingTouchdowns,ReceivingYards,ReceivingYardsAfterCatch,ReceivingYardsAtCatch,ReceivingYardsPerGame,Receptions,TeamGamesPlayed,TotalOffensivePlays,TotalPointsPerGame,TotalTouchdowns,TotalYards,TotalYardsFromScrimmage,TwoPointReceivingConversion,TwoPointReceptions,TwoPointReceptionAttempts,YardsFromScrimmagePerGame,YardsPerGame,YardsPerReception
0,Justin Jefferson,2729.0,64.0,28.0,80.0,0.0,0.0,184.0,8.0,1809.0,613.0,1196.0,106.4117660522461,128.0,17.0,6.0,3.1764705181121826,9.0,1867.0,1833.0,-1.0,1.0,1.0,107.82353210449219,109.82353210449219,14.133000373840332
1,Tyreek Hill,2550.0,64.0,25.0,77.0,1.0,0.0,170.0,7.0,1710.0,482.0,1228.0,100.5882339477539,119.0,17.0,7.0,3.1764705181121826,9.0,1742.0,1742.0,-1.0,0.0,0.0,102.47058868408203,102.47058868408203,14.369999885559082
2,Davante Adams,2506.0,60.0,24.0,65.0,1.0,0.0,180.0,14.0,1516.0,493.0,1023.0,89.17646789550781,100.0,17.0,4.0,4.941176414489746,14.0,1515.0,1515.0,-1.0,0.0,1.0,89.11764526367188,89.11764526367188,15.15999984741211
3,A.J. Brown,2321.0,78.0,23.0,59.0,2.0,2.0,145.0,11.0,1496.0,548.0,948.0,88.0,88.0,17.0,0.0,3.882352828979492,11.0,1496.0,1496.0,-1.0,0.0,0.0,88.0,88.0,17.0
4,Stefon Diggs,2354.0,53.0,17.0,72.0,1.0,0.0,154.0,11.0,1429.0,419.0,1010.0,89.3125,108.0,16.0,1.0,4.125,11.0,1426.0,1426.0,-1.0,0.0,0.0,89.125,89.125,13.230999946594238
5,CeeDee Lamb,2209.0,39.0,24.0,67.0,0.0,0.0,156.0,9.0,1359.0,486.0,873.0,79.94117736816406,107.0,17.0,10.0,3.1764705181121826,9.0,1406.0,1406.0,-1.0,0.0,0.0,82.70587921142578,82.70587921142578,12.701000213623047
6,Jaylen Waddle,2011.0,84.0,21.0,60.0,1.0,1.0,117.0,8.0,1356.0,510.0,846.0,79.76470947265625,75.0,17.0,3.0,2.8235294818878174,8.0,1382.0,1382.0,-1.0,0.0,1.0,81.29412078857422,81.29412078857422,18.079999923706055
7,Travis Kelce,2308.0,52.0,19.0,78.0,1.0,1.0,152.0,12.0,1338.0,648.0,690.0,78.70587921142578,110.0,17.0,2.0,4.235294342041016,12.0,1343.0,1343.0,-1.0,1.0,1.0,79.0,79.0,12.163999557495117
8,DeVonta Smith,1916.0,45.0,18.0,57.0,1.0,1.0,136.0,7.0,1196.0,476.0,720.0,70.35294342041016,95.0,17.0,0.0,2.470588207244873,7.0,1196.0,1196.0,-1.0,0.0,1.0,70.35294342041016,70.35294342041016,12.58899974822998
9,Terry McLaurin,1751.0,52.0,16.0,56.0,0.0,0.0,120.0,5.0,1191.0,394.0,797.0,70.05882263183594,77.0,17.0,7.0,1.7647058963775635,5.0,1220.0,1220.0,-1.0,0.0,0.0,71.76470947265625,71.76470947265625,15.468000411987305
10,Amon-Ra St. Brown,1901.0,49.0,11.0,68.0,0.0,0.0,146.0,6.0,1161.0,526.0,635.0,72.5625,106.0,17.0,9.0,2.25,6.0,1256.0,1256.0,-1.0,0.0,0.0,78.5,78.5,10.95300006866455
11,Amari Cooper,1865.0,55.0,18.0,61.0,0.0,0.0,132.0,9.0,1160.0,325.0,835.0,68.23529052734375,78.0,17.0,1.0,3.1764705181121826,9.0,1160.0,1160.0,-1.0,0.0,1.0,68.23529052734375,68.23529052734375,14.871999740600586
12,Mike Evans,1719.0,63.0,19.0,53.0,0.0,0.0,127.0,6.0,1124.0,216.0,908.0,74.93333435058594,77.0,17.0,0.0,2.4000000953674316,6.0,1124.0,1124.0,-1.0,0.0,1.0,74.93333435058594,74.93333435058594,14.597000122070312
13,Christian Kirk,1808.0,49.0,18.0,54.0,1.0,1.0,133.0,8.0,1108.0,377.0,731.0,65.17646789550781,84.0,17.0,6.0,2.8235294818878174,8.0,1119.0,1119.0,-1.0,0.0,1.0,65.82353210449219,65.82353210449219,13.1899995803833
14,Garrett Wilson,1658.0,60.0,13.0,56.0,1.0,1.0,147.0,4.0,1103.0,384.0,719.0,64.88235473632812,83.0,17.0,5.0,1.4117647409439087,4.0,1107.0,1107.0,-1.0,0.0,0.0,65.11764526367188,65.11764526367188,13.288999557495117
15,DK Metcalf,1708.0,54.0,11.0,47.0,2.0,2.0,141.0,6.0,1048.0,217.0,831.0,61.64706039428711,90.0,17.0,0.0,2.117647171020508,6.0,1048.0,1048.0,-1.0,0.0,1.0,61.64706039428711,61.64706039428711,11.644000053405762
16,Ja'Marr Chase,1796.0,60.0,13.0,58.0,2.0,2.0,134.0,9.0,1046.0,436.0,610.0,87.16666412353516,87.0,16.0,6.0,4.5,9.0,1054.0,1054.0,-1.0,0.0,0.0,87.83333587646484,87.83333587646484,12.02299976348877
17,Chris Olave,1542.0,53.0,13.0,48.0,2.0,2.0,119.0,4.0,1042.0,210.0,832.0,69.46666717529297,72.0,17.0,0.0,1.600000023841858,4.0,1042.0,1042.0,-1.0,1.0,1.0,69.46666717529297,69.46666717529297,14.472000122070312
18,Tyler Lockett,1768.0,40.0,14.0,50.0,1.0,1.0,117.0,9.0,1033.0,274.0,759.0,64.5625,84.0,17.0,0.0,3.375,9.0,1033.0,1033.0,-1.0,0.0,0.0,64.5625,64.5625,12.29800033569336
19,Tee Higgins,1644.0,59.0,14.0,46.0,0.0,0.0,109.0,7.0,1029.0,286.0,743.0,64.3125,74.0,16.0,0.0,2.625,7.0,1029.0,1029.0,-1.0,1.0,1.0,64.3125,64.3125,13.904999732971191
20,Chris Godwin,1648.0,44.0,10.0,53.0,2.0,2.0,142.0,3.0,1023.0,531.0,492.0,68.19999694824219,104.0,17.0,3.0,1.2000000476837158,3.0,1028.0,1028.0,-1.0,1.0,3.0,68.53333282470703,68.53333282470703,9.836999893188477
21,Brandon Aiyuk,1685.0,54.0,17.0,47.0,1.0,1.0,114.0,8.0,1015.0,388.0,627.0,59.70588302612305,78.0,17.0,2.0,2.8235294818878174,8.0,1038.0,1038.0,-1.0,0.0,0.0,61.05882263183594,61.05882263183594,13.012999534606934
